iter	RMSE
0	1.408008009
1	1.23553524
2	1.108086191
3	1.020022597
4	0.9558170347
5	0.9123067368
6	0.8797728096
7	0.8453817728
8	0.80678576
9	0.7738080851
10	0.7516672048
11	0.7319572544
12	0.7197075619
13	0.7037166084
14	0.6915599585
15	0.6787719954
16	0.6681138728
17	0.6624517247
18	0.6521220406
19	0.6453725933
20	0.63974983
21	0.6334424281
22	0.6244098236
23	0.6193306199
24	0.6122360246
25	0.6087259473
26	0.6051371509
27	0.6018791551
28	0.5969624624
29	0.5941251436
30	0.5885682951
31	0.5858563883
32	0.5824842735
33	0.5795276142
34	0.5772128405
35	0.5743440301
36	0.5701184956
37	0.5675008842
38	0.5653877985
39	0.5635916813
40	0.5590950147
41	0.5574072709
42	0.5557941066
43	0.5541101446
44	0.5524190745
45	0.5501716135
46	0.5481467991
47	0.5468111992
48	0.5451679144
49	0.5421488586
50	0.5407996904
51	0.5388876536
52	0.5376542866
53	0.5359706112
54	0.5338219008
55	0.5327126237
56	0.5316776775
57	0.5304847029
58	0.5286245744
59	0.5275360094
60	0.5264071021
61	0.5247448578
62	0.5234319504
63	0.5223367131
64	0.5214009109
65	0.5204302281
66	0.5196888619
67	0.5187760824
68	0.5180098782
69	0.5171902078
70	0.5157261103
71	0.5148298695
72	0.5137375118
73	0.5127257396
74	0.5118053599
75	0.5109374557
76	0.5086796535
77	0.5075037122
78	0.5067307163
79	0.5059162999
80	0.5051815979
81	0.5045173004
82	0.5038435203
83	0.5027809968
84	0.5021796181
85	0.5010508297
86	0.4999883473
87	0.4994736256
88	0.498454461
89	0.4976612785
90	0.4970360566
91	0.4962142723
92	0.4956143952
93	0.4950467105
94	0.4945302438
95	0.4939779501
96	0.493474739
97	0.4928055919
98	0.4923229323
99	0.4911468801
100	0.4905856461
101	0.4900870007
102	0.4893670037
103	0.4887532726
104	0.4881581489
105	0.4875793978
106	0.4870945472
107	0.4865875474
108	0.4861589
109	0.4856387622
110	0.4851886205
111	0.4847983781
112	0.4842929384
113	0.4815886089
114	0.4810939938
115	0.4803892519
116	0.4797661039
117	0.479270314
118	0.4787920142
119	0.4784137147
120	0.4779573606
121	0.47751273
122	0.4769566261
123	0.4765704719
124	0.4760477151
125	0.4756731013
126	0.4752193568
127	0.4748300781
128	0.4744966669
129	0.4741950865
130	0.4738738726
131	0.4735579191
132	0.4732207314
133	0.4728504157
134	0.4725756561
135	0.4720472066
136	0.4715960034
137	0.47132296
138	0.4704161764
139	0.4698093556
140	0.4695194164
141	0.4693092948
142	0.4689290803
143	0.4685495486
144	0.4682297682
145	0.4677683764
146	0.4674423537
147	0.4671038165
148	0.4668080315
149	0.4665491708
150	0.4662777602
151	0.4660474931
152	0.4657393355
153	0.4653709587
154	0.4645953396
155	0.4642769053
156	0.4640843218
157	0.4637016871
158	0.4635000595
159	0.463180016
160	0.4629723388
161	0.4627075623
162	0.4624093
163	0.4622337935
164	0.4619274681
165	0.461636247
166	0.4613968372
167	0.4611693663
168	0.4610080675
169	0.460814471
170	0.4606703429
171	0.4603327625
172	0.4601083604
173	0.4599289839
174	0.4597218689
175	0.4594738536
176	0.4592483479
177	0.4589218599
178	0.4587170612
179	0.4584868262
180	0.4581924
181	0.4580455653
182	0.4569799701
183	0.4567956625
184	0.4566390988
185	0.4564459745
186	0.4560627556
187	0.4558232393
188	0.4555716412
189	0.4553531204
190	0.455179051
191	0.4550473525
192	0.4548614524
193	0.454593966
194	0.4544641713
195	0.454249523
196	0.4541070972
197	0.4539128605
198	0.4534956727
199	0.4532764922
200	0.453124469
201	0.4529257509
202	0.452764183
203	0.4525255277
204	0.4523599816
205	0.4522189422
206	0.4520454566
207	0.4518905346
208	0.4517544553
209	0.4515999458
210	0.451493123
211	0.4512871055
212	0.4510734451
213	0.4509508912
214	0.45080679
215	0.4504599022
216	0.450289496
217	0.4500853504
218	0.4498376516
219	0.4496982228
220	0.4494913215
221	0.4492831889
222	0.4491016892
223	0.4489133599
224	0.4487863951
225	0.4483862824
226	0.4482434274
227	0.448098615
228	0.447976665
229	0.4478195176
230	0.447704336
231	0.4476114553
232	0.4474395151
233	0.4472418187
234	0.4471225711
235	0.4467923031
236	0.4463718254
237	0.446217173
238	0.4460207633
239	0.445927551
240	0.4457183492
241	0.4454384169
242	0.4453159227
243	0.4451715092
244	0.4450617715
245	0.4449671699
246	0.4447894911
247	0.4444538404
248	0.4443552529
249	0.4442893264
250	0.4441528698
251	0.4440734645
252	0.4439390357
253	0.4437978265
254	0.4437073806
255	0.4436176072
256	0.443467514
257	0.4432814467
258	0.4431713657
259	0.4429948823
260	0.4428875073
261	0.4427857829
262	0.4426585606
263	0.442559575
264	0.4424684536
265	0.4422826218
266	0.4421682614
267	0.4419650156
268	0.441826227
269	0.4417306426
270	0.4416134646
271	0.4415251248
272	0.4413387762
273	0.441244625
274	0.4411540061
275	0.4410526362
276	0.4408956973
277	0.4408246295
278	0.4407488424
279	0.4406624289
280	0.4405423595
281	0.4404207156
282	0.4403078502
283	0.4401696432
284	0.4400730326
285	0.4399451216
286	0.4398859362
287	0.4398073306
288	0.4397103726
289	0.4395065204
290	0.4393658094
291	0.4392585094
292	0.4392013982
293	0.4390760378
294	0.4389858428
295	0.4389068521
296	0.4387894244
297	0.4387217967
298	0.4386721463
299	0.4385698204
300	0.4385084657
