iter	Passed	Remaining
0	119	56088
1	212	49572
2	300	46751
3	399	46437
4	517	48016
5	621	47982
6	764	50486
7	909	52401
8	1030	52684
9	1135	52136
10	1244	51806
11	1354	51579
12	1512	53044
13	1750	56881
14	1958	59287
15	2377	67304
16	2787	74109
17	2979	74650
18	3072	72771
19	3173	71248
20	3390	72334
21	3737	75944
22	4074	79004
23	4232	78480
24	4445	78951
25	4636	78999
26	4848	79366
27	5084	80083
28	5256	79754
29	5402	79057
30	5503	77755
31	5685	77645
32	5943	78523
33	6081	77809
34	6232	77285
35	6334	76186
36	6444	75240
37	6623	75130
38	6798	74955
39	7010	75188
40	7241	75589
41	7365	74877
42	7496	74270
43	7603	73446
44	7715	72694
45	7812	71842
46	7953	71410
47	8036	70485
48	8119	69599
49	8196	68684
50	8271	67792
51	8349	66956
52	8560	67194
53	8687	66763
54	8884	66877
55	9059	66811
56	9187	66406
57	9343	66210
58	9610	66782
59	9851	67154
60	10123	67713
61	10328	67801
62	10635	68538
63	11153	70581
64	11373	70692
65	11628	71006
66	11884	71305
67	12007	70806
68	12110	70204
69	12234	69734
70	12333	69136
71	12427	68521
72	12518	67911
73	12642	67484
74	12751	66988
75	12835	66372
76	12919	65773
77	13019	65262
78	13210	65218
79	13335	64844
80	13421	64290
81	13506	63744
82	13583	63172
83	13659	62607
84	13741	62081
85	13874	61791
86	14047	61678
87	14180	61394
88	14309	61096
89	14394	60617
90	14481	60155
91	14576	59733
92	14669	59309
93	14855	59263
94	15159	59680
95	15341	59608
96	15597	59818
97	15683	59374
98	15768	58933
99	16050	59226
100	16226	59123
101	16373	58914
102	16498	58624
103	16611	58299
104	16706	57917
105	16805	57550
106	16894	57156
107	16985	56774
108	17083	56421
109	17189	56101
110	17271	55703
111	17352	55311
112	17429	54910
113	17521	54561
114	17601	54183
115	17699	53861
116	17775	53476
117	17854	53110
118	17986	52901
119	18139	52755
120	18409	52947
121	18486	52581
122	18579	52264
123	18667	51938
124	18742	51579
125	18822	51237
126	18909	50922
127	19011	50647
128	19105	50355
129	19185	50031
130	19271	49723
131	19471	49710
132	19680	49718
133	19906	49766
134	20234	50061
135	20449	50071
136	20537	49769
137	20632	49487
138	20743	49247
139	20840	48975
140	20952	48741
141	21165	48740
142	21467	48939
143	21863	49344
144	22111	49408
145	22268	49265
146	22438	49150
147	22580	48975
148	22856	49087
149	23080	49085
150	23308	49086
151	23405	48811
152	23492	48519
153	23587	48246
154	23704	48020
155	23821	47796
156	23916	47529
157	24016	47272
158	24115	47018
159	24195	46728
160	24277	46443
161	24359	46162
162	24446	45892
163	24560	45675
164	24658	45431
165	24756	45187
166	24856	44949
167	24981	44759
168	25068	44500
169	25155	44244
170	25254	44010
171	25401	43862
172	25619	43833
173	25744	43646
174	25830	43394
175	25982	43255
176	26195	43215
177	26454	43248
178	26659	43191
179	27156	43600
180	27551	43839
181	27813	43860
182	28014	43781
183	28112	43543
184	28209	43306
185	28329	43103
186	28447	42900
187	28529	42642
188	28622	42403
189	28728	42185
190	28806	41927
191	28883	41669
192	28966	41423
193	29049	41178
194	29129	40930
195	29230	40713
196	29330	40496
197	29420	40266
198	29529	40065
199	29629	39851
200	29714	39619
201	29802	39392
202	29958	39256
203	30075	39069
204	30160	38841
205	30255	38626
206	30406	38485
207	30597	38394
208	30748	38251
209	30895	38104
210	31085	38009
211	31373	38033
212	31650	38039
213	31944	38064
214	32120	37947
215	32245	37768
216	32396	37621
217	32547	37473
218	32731	37364
219	32905	37242
220	33093	37136
221	33220	36961
222	33312	36747
223	33403	36534
224	33505	36334
225	33591	36118
226	33681	35906
227	33769	35695
228	33854	35480
229	33962	35291
230	34053	35084
231	34146	34882
232	34245	34686
233	34351	34498
234	34448	34301
235	34544	34105
236	34633	33903
237	34731	33710
238	34837	33525
239	34945	33344
240	35057	33166
241	35161	32982
242	35277	32809
243	35402	32645
244	35538	32491
245	35657	32323
246	35784	32162
247	35930	32018
248	36067	31867
249	36198	31709
250	36378	31595
251	36512	31441
252	36627	31270
253	36775	31128
254	36911	30976
255	37052	30828
256	37335	30797
257	37515	30681
258	37766	30621
259	37912	30475
260	38187	30432
261	38286	30248
262	38369	30053
263	38497	29893
264	38603	29717
265	38696	29531
266	38781	29340
267	38896	29172
268	39000	28996
269	39088	28809
270	39191	28634
271	39286	28453
272	39369	28265
273	39468	28089
274	39602	27937
275	39808	27837
276	39989	27718
277	40089	27543
278	40191	27370
279	40338	27228
280	40540	27122
281	40646	26953
282	40740	26776
283	40867	26621
284	41007	26475
285	41106	26302
286	41200	26126
287	41350	25987
288	41480	25835
289	41603	25679
290	41736	25529
291	41838	25361
292	41942	25194
293	42073	25043
294	42169	24872
295	42268	24704
296	42364	24534
297	42456	24362
298	42579	24209
299	42685	24045
300	42784	23879
301	42904	23725
302	43030	23574
303	43136	23413
304	43226	23242
305	43307	23069
306	43391	22897
307	43480	22728
308	43565	22558
309	43654	22390
310	43767	22235
311	43854	22067
312	43929	21894
313	44008	21723
314	44087	21553
315	44175	21388
316	44258	21221
317	44481	21121
318	44663	21001
319	44891	20902
320	45133	20809
321	45262	20663
322	45520	20576
323	45686	20445
324	45793	20290
325	46004	20179
326	46167	20048
327	46279	19894
328	46426	19756
329	46599	19628
330	46766	19497
331	46905	19355
332	47032	19208
333	47159	19061
334	47279	18911
335	47390	18758
336	47493	18602
337	47599	18448
338	47708	18295
339	47813	18141
340	47910	17983
341	48012	17829
342	48125	17678
343	48216	17520
344	48312	17364
345	48395	17204
346	48516	17057
347	48755	16952
348	48899	16813
349	49012	16664
350	49164	16528
351	49253	16371
352	49337	16213
353	49425	16056
354	49544	15909
355	49636	15755
356	49731	15601
357	49809	15443
358	49898	15289
359	50021	15145
360	50116	14993
361	50215	14842
362	50305	14689
363	50418	14543
364	50518	14394
365	50614	14243
366	50708	14093
367	50803	13943
368	50888	13790
369	50974	13639
370	51058	13487
371	51156	13339
372	51274	13196
373	51364	13047
374	51491	12907
375	51635	12771
376	51752	12629
377	51862	12485
378	51977	12342
379	52114	12205
380	52245	12067
381	52379	11929
382	52520	11793
383	52613	11646
384	52710	11500
385	52812	11356
386	52953	11220
387	53043	11073
388	53143	10929
389	53230	10782
390	53339	10640
391	53436	10496
392	53514	10348
393	53590	10201
394	53667	10054
395	53750	9908
396	53818	9760
397	53891	9613
398	53963	9467
399	54034	9320
400	54110	9175
401	54199	9033
402	54277	8889
403	54357	8745
404	54454	8605
405	54600	8472
406	54689	8331
407	54773	8189
408	54869	8049
409	54981	7911
410	55082	7773
411	55166	7632
412	55254	7492
413	55343	7352
414	55426	7212
415	55532	7074
416	55621	6936
417	55704	6796
418	55792	6657
419	55893	6520
420	55977	6382
421	56064	6244
422	56149	6106
423	56236	5968
424	56335	5832
425	56426	5695
426	56517	5559
427	56629	5424
428	56758	5292
429	56902	5160
430	57013	5026
431	57128	4892
432	57334	4766
