number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_od_wait,params_random_strength,state
28,0.4352109167268674,2024-12-07 12:42:35.166555,2024-12-07 12:52:28.061147,0 days 00:09:52.894592,3.887812068795712e-10,92,11,461,0.00020200201446673102,0.11116321661474277,22,1.5978885715672066e-18,COMPLETE
29,0.43534009567505094,2024-12-07 12:43:48.204684,2024-12-07 13:59:26.850560,0 days 01:15:38.645876,4.6284498882823737e-10,108,12,462,0.00024982999573208096,0.101249578839313,22,1.163518961266328e-18,COMPLETE
30,0.4373099728456061,2024-12-07 12:47:04.601779,2024-12-07 14:02:20.078098,0 days 01:15:15.476319,4.1264471769365483e-10,135,12,430,0.00023561526987740861,0.11173795269698308,26,1.3437926572432349e-17,COMPLETE
34,0.4383428875143706,2024-12-07 14:02:20.098460,2024-12-07 14:25:02.260277,0 days 00:22:42.161817,4.368790377950839e-10,109,12,429,0.0002187161217239718,0.08797548438367415,22,1.0893461941639383e-17,COMPLETE
33,0.4386385711480855,2024-12-07 13:59:26.858599,2024-12-07 14:07:43.714825,0 days 00:08:16.856226,4.1327270952915203e-10,110,12,434,0.0004657427780410296,0.06425434935135406,22,1.8548328355315054e-18,COMPLETE
32,0.4388317558943705,2024-12-07 12:52:28.068256,2024-12-07 14:06:13.399100,0 days 01:13:45.330844,5.187069688567743e-10,109,12,434,0.00023025530866790432,0.07446888746401473,22,1.1323803690347912e-17,COMPLETE
31,0.439154208029554,2024-12-07 12:50:34.258020,2024-12-07 14:05:06.528121,0 days 01:14:32.270101,3.6546692258017445e-10,111,12,497,0.00042617896121309126,0.13179509528149105,26,1.2268449200238677e-17,COMPLETE
35,0.4412854905130995,2024-12-07 14:05:06.530587,2024-12-07 14:31:03.300926,0 days 00:25:56.770339,5.338849000143213e-10,110,12,433,0.00042513956181414414,0.08891494872027844,26,1.3032607607054024e-17,COMPLETE
36,0.4428101506519445,2024-12-07 14:06:13.419375,2024-12-07 14:33:55.038129,0 days 00:27:41.618754,4.5920350223868125e-10,109,12,424,0.00047660966952621416,0.0695677001245006,22,1.438692171788465e-17,COMPLETE
37,0.4445358008464077,2024-12-07 14:07:43.724772,2024-12-07 14:37:29.831768,0 days 00:29:46.106996,3.8782023912242656e-10,124,12,430,0.0004221372874470697,0.06776513128188913,22,1.7394379336604253e-18,COMPLETE
27,0.4459504494618892,2024-12-07 12:41:02.355303,2024-12-07 12:50:34.258020,0 days 00:09:31.902717,3.867005540921309e-08,93,11,463,0.00022256571586446396,0.6141772626673734,22,1.6481430374415244e-18,COMPLETE
38,0.447954263806395,2024-12-07 14:25:02.263606,2024-12-07 14:40:57.888375,0 days 00:15:55.624769,1.1335703063042873e-10,123,13,402,0.00016467888648266023,0.050769837237089804,21,1.191563181568126e-16,COMPLETE
39,0.44809086445965496,2024-12-07 14:31:03.349849,2024-12-07 14:42:44.288755,0 days 00:11:40.938906,1.084801171752003e-10,127,13,400,0.00015424422124717775,0.05014249052722823,21,9.908193239363397e-17,COMPLETE
17,0.4609579608663033,2024-12-07 11:52:50.061748,2024-12-07 12:02:23.921976,0 days 00:09:33.860228,2.0642252144450146e-09,96,12,465,0.00028497971937866366,0.3970106608253522,25,3.4802666240933556e-18,COMPLETE
18,0.4614949092255166,2024-12-07 11:57:31.349383,2024-12-07 12:09:50.408978,0 days 00:12:19.059595,2.334582840206883e-09,136,10,458,0.00028469176506348907,0.455469214074361,25,4.2702685141767506e-18,COMPLETE
0,0.4621264723849542,2024-12-07 09:55:22.476087,2024-12-07 10:50:19.275171,0 days 00:54:56.799084,6.594191253232079e-08,90,10,412,0.000172556761373401,0.61668365384108,21,5.629860890502495e-20,COMPLETE
1,0.4621264723849542,2024-12-07 09:55:22.485983,2024-12-07 10:45:58.511876,0 days 00:50:36.025893,6.512599566485542e-09,146,10,404,0.00046948400538790984,0.2728861595101505,27,3.69890874966178e-17,COMPLETE
26,0.46368116096243756,2024-12-07 12:37:54.170235,2024-12-07 12:47:04.591691,0 days 00:09:10.421456,3.499864576937163e-08,92,11,465,0.00014689180592993337,0.5354075253378973,23,1.5046298699294378e-18,COMPLETE
7,0.46820017649587353,2024-12-07 10:56:46.528665,2024-12-07 11:34:42.724098,0 days 00:37:56.195433,2.9505261585955045e-07,87,15,404,0.0019607149146513695,0.023052848710081432,30,3.2742373572838e-17,COMPLETE
19,0.4683746533129155,2024-12-07 12:00:13.372084,2024-12-07 12:21:33.020005,0 days 00:21:19.647921,1.1793838718508578e-09,159,10,444,0.00031860911720364563,0.416347556816771,27,5.432573904571658e-18,COMPLETE
2,0.4689200917861049,2024-12-07 09:55:22.499280,2024-12-07 10:54:55.911546,0 days 00:59:33.412266,4.797505027538218e-07,132,15,519,0.0003094166496954088,0.20284454506770389,27,7.202844607438357e-20,COMPLETE
3,0.4689200917861049,2024-12-07 09:55:22.504267,2024-12-07 10:56:46.528665,0 days 01:01:24.024398,8.450900530803578e-08,146,15,579,0.0006190946209495903,0.018015395941005617,23,1.0544947284083924e-18,COMPLETE
20,0.47129753396053553,2024-12-07 12:01:59.863524,2024-12-07 12:31:39.220976,0 days 00:29:39.357452,1.6259276909977697e-09,159,10,446,0.00011050683981325429,0.3258140792641475,27,4.165102423994453e-18,COMPLETE
10,0.4748108210504861,2024-12-07 11:10:06.074367,2024-12-07 11:43:20.726529,0 days 00:33:14.652162,4.87424196952199e-09,110,14,495,0.0007874499184927959,0.20767976067132715,23,5.137201889250235e-17,COMPLETE
4,0.47545423089509403,2024-12-07 10:45:58.644267,2024-12-07 11:05:45.673968,0 days 00:19:47.029701,1.4619648413994925e-10,125,14,414,0.00010098202777295753,0.18790431064233887,20,9.019132602157177e-20,COMPLETE
21,0.47675725805015895,2024-12-07 12:02:23.930830,2024-12-07 12:33:54.386623,0 days 00:31:30.455793,1.139306579690881e-09,81,13,453,0.0001323364042728596,0.3775124331299875,20,4.03018217972434e-19,COMPLETE
