id;starttime;endtime;description;type;subtype;street;polyline;direction
20240617T083355_4869_2773;2024-06-17T08:33:55+01:00;2025-12-31T18:00:00+01:00;Maitre d'ouvrage S.A.G.P.  Aménagement de voirie, travaux en multi phases;CONSTRUCTION;;Bd_de_Reuilly;48.8394672962685803 2.3942762534479076 48.8393058523850883 2.3921593881509695;ONE_DIRECTION
20241119T213641_5455_388;2024-11-19T21:36:41+01:00;2024-11-20T06:00:00+01:00;Fermeture BPI Gentilly-RN13;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Mortemart;48.8510319766658156 2.2521996303755838 48.8517755264164677 2.2522873144781901 48.8522833695813219 2.2525145436277114 48.8526809284569481 2.2527757671895832 48.8532270091721017 2.2532015022844623 48.8536617982679005 2.2536715254976230 48.8541331015555613 2.2543410230983389;ONE_DIRECTION
20241119T213641_5512_52;2024-11-19T21:36:41+01:00;2024-11-20T06:00:00+01:00;Fermeture BPI Gentilly-RN13;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SI_A13_bretelle_6;48.8468826698989531 2.2547719072647778 48.8475166730557007 2.2544431493756836 48.8481902532886281 2.2538586328789694 48.8486365505164457 2.2534627994487098;ONE_DIRECTION
20240422T155813_192_120;2024-04-22T15:58:13+01:00;2025-05-15T18:00:00+01:00;Travaux:Maitre d'ouvrage:SAS 40 rue des STs Pères/Objet:Réhabilitation de Batiment;CONSTRUCTION;;Sts_Peres;48.8563006745693329 2.3316506003130226 48.8544501607147055 2.3304226829815158;ONE_DIRECTION
20210117T082836_6088_3370;2021-01-17T08:28:36+01:00;2030-12-27T17:00:00+01:00;AE_A6A_bretelle_8;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;AE_A6A_bretelle_8;48.8153000957952585 2.3367824808364861 48.8162481478654655 2.3371978486170617 48.8165029925392133 2.3374582022794543 48.8167048488371691 2.3378199568949225 48.8167241076344780 2.3380966256338662 48.8164816798007664 2.3418359646445879;ONE_DIRECTION
20241119T213641_5308_3381;2024-11-19T21:36:41+01:00;2024-11-20T06:00:00+01:00;Fermeture BPI Gentilly-RN13;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SI_RN13_bretelle_8;48.8752718456005653 2.2768936853578663 48.8759579378740696 2.2781754414317872 48.8765861823991870 2.2791903422764745 48.8771660802531756 2.2799678038416404 48.8775974650778551 2.2801319217932661 48.8782648239295341 2.2801907365073517 48.8786144463405847 2.2799879760201405 48.8791173780470132 2.2784842062702411;ONE_DIRECTION
20240617T083355_4869_807;2024-06-17T08:33:55+01:00;2025-12-31T18:00:00+01:00;Maitre d'ouvrage S.A.G.P.  Aménagement de voirie, travaux en multi phases;CONSTRUCTION;;Bd_de_Reuilly;48.8395474596011567 2.3950642247246505 48.8394672962685803 2.3942762534479076;ONE_DIRECTION
20240826T174434_4770_774;2024-08-26T17:44:34+01:00;2025-08-29T18:00:00+01:00;Fayolle - Place Félix Eboué. Aménagement de voirie.;CONSTRUCTION;;Bd_de_Reuilly;48.8396813090056767 2.3977211885072740 48.8396571812658564 2.3964386495761274;ONE_DIRECTION
20241119T213641_5317_1290;2024-11-19T21:36:41+01:00;2024-11-20T06:00:00+01:00;Fermeture BPI Gentilly-RN13;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Orleans;48.8195213645606572 2.3283571585704648 48.8209043492026851 2.3219324724526973;ONE_DIRECTION
20240916T080006_5238_3336;2024-09-16T08:00:06+01:00;2025-02-28T16:00:00+01:00;Av_des_Ternes - Aménagement de voirie piste cyclables;CONSTRUCTION;;Av_Pte_Ternes;48.8808019840746368 2.2852021503195004 48.8809896691538555 2.2843083522585395;ONE_DIRECTION
20240916T080006_5241_1018;2024-09-16T08:00:06+01:00;2025-02-28T16:00:00+01:00;Av_des_Ternes - Aménagement de voirie piste cyclables;CONSTRUCTION;;Av_Pte_Ternes;48.8809114348143012 2.2841908643425972 48.8806792311413076 2.2851445334502247;ONE_DIRECTION
20241003T082352_372_2179;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;St_Antoine;48.8551065589373579 2.3616887455298552 48.8554972796506775 2.3600634149766173;ONE_DIRECTION
20241003T082352_375_235;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;St_Antoine;48.8533832221277962 2.3676529252188785 48.8535182436284714 2.3665293761035024 48.8539396055919610 2.3647612444729278;ONE_DIRECTION
20241119T213641_6138_647;2024-11-19T21:36:41+01:00;2024-11-20T06:00:00+01:00;Fermeture BPI Gentilly-RN13;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SI_Molitor;48.8441775348470131 2.2547240626603950 48.8451912034509590 2.2556842548180991;ONE_DIRECTION
20241119T213652_1540_46;2024-11-19T21:36:52+01:00;2024-11-20T06:00:00+01:00;Fermeture SE Montreuil;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;SE_Montreuil;48.8523181491549323 2.4149563370337277 48.8536734376518993 2.4145586100784908;ONE_DIRECTION
20241119T213641_5475_1117;2024-11-19T21:36:41+01:00;2024-11-20T06:00:00+01:00;Fermeture BPI Gentilly-RN13;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;AI_A6A;48.8193383234833362 2.3295449259746164 48.8195213645606572 2.3283571585704648;ONE_DIRECTION
20240916T084539_6166_972;2024-09-16T08:45:39+01:00;2025-01-30T18:00:00+01:00;CPCU - Quai Saint-Bernard. Création ou dévoiement de réseau.;CONSTRUCTION;;Quai_St_Bernard;48.8479506961460430 2.3593958749422406 48.8492315405338289 2.3574935691353400 48.8493619135379475 2.3570252364547342 48.8494325459590755 2.3566566014661383;ONE_DIRECTION
20241003T082352_27_568;2024-10-03T08:23:52+01:00;2030-01-03T16:21:00+01:00;Concorde_Est Interdiction vehicules à moteur sauf bus, taxi, sécours;ROAD_CLOSED;ROAD_CLOSED_EVENT;Rivoli;48.8585227178299064 2.3482103524655238 48.8587993480476968 2.3474346083817021;ONE_DIRECTION
20241119T213641_5432_2982;2024-11-19T21:36:41+01:00;2024-11-20T06:00:00+01:00;Fermeture BPI Gentilly-RN13;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Dauphine;48.8699236535390114 2.2718691374982489 48.8737638852272411 2.2754519739466614;ONE_DIRECTION
20241119T213641_5440_34;2024-11-19T21:36:41+01:00;2024-11-20T06:00:00+01:00;Fermeture BPI Gentilly-RN13;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;PI_Passy;48.8577767163822116 2.2595195177162708 48.8585357077862668 2.2614033083980467 48.8586711712758230 2.2617286577550115 48.8589183004289964 2.2622221077316045 48.8592856492021923 2.2628053466694884;ONE_DIRECTION
