number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_od_wait,params_random_strength,state
24,0.40292956565644555,2024-12-06 18:27:12.017224,2024-12-06 18:44:20.243064,0 days 00:17:08.225840,1.3100769328933046e-08,84,12,491,0.003506292138560281,0.15128166805001156,23,1.091169588001663e-15,COMPLETE
39,0.4037834136429603,2024-12-06 19:17:07.553169,2024-12-06 19:32:31.958664,0 days 00:15:24.405495,3.831569356901748e-08,128,12,498,0.0017093325240595935,0.12275813886674371,26,3.8100757712048136e-14,COMPLETE
38,0.4039997204726336,2024-12-06 19:15:29.122780,2024-12-06 19:31:46.065013,0 days 00:16:16.942233,4.283383513199011e-07,126,12,501,0.006051565723756992,0.11368097790587003,26,4.381007489937715e-14,COMPLETE
37,0.4046711211637383,2024-12-06 19:14:11.523924,2024-12-06 19:29:55.394070,0 days 00:15:43.870146,0.09004343859779752,52,10,500,0.0017345231132306713,0.1127405102207073,21,3.3726415894980065e-14,COMPLETE
25,0.40527867482233554,2024-12-06 18:31:59.346980,2024-12-06 18:48:32.937048,0 days 00:16:33.590068,3.029732577855736e-08,83,12,480,0.0031323661904298365,0.1397448025488562,22,1.1491005832189532e-15,COMPLETE
26,0.40533929089767906,2024-12-06 18:37:44.509134,2024-12-06 18:49:40.310507,0 days 00:11:55.801373,1.2364867107339364e-08,84,12,477,0.002815755765482318,0.1365840950768305,24,1.2294198258866584e-15,COMPLETE
34,0.4065242994156947,2024-12-06 19:04:39.385151,2024-12-06 19:15:29.112694,0 days 00:10:49.727543,2.195856687003893e-07,109,11,500,0.002059607397210905,0.1053311383297695,29,8.812234699591181e-14,COMPLETE
3,0.40747137341193945,2024-12-06 17:44:31.389671,2024-12-06 18:03:27.959677,0 days 00:18:56.570006,2.2002808133129092e-08,89,12,488,0.013568801512962603,0.18760270911410992,22,1.0221323936667e-15,COMPLETE
1,0.40747137341193945,2024-12-06 17:44:31.389671,2024-12-06 18:02:30.885233,0 days 00:17:59.495562,0.0015912784660810876,59,6,529,0.002026462255621815,0.14450717799874674,20,4.2486850337367375e-10,COMPLETE
2,0.40747137341193945,2024-12-06 17:44:31.389671,2024-12-06 18:02:39.702639,0 days 00:18:08.312968,1.3543482982680331e-08,33,7,543,0.04875114511277487,0.03558196294125362,22,2.9064234038201056e-14,COMPLETE
36,0.4076743364167704,2024-12-06 19:09:56.224383,2024-12-06 19:20:41.073308,0 days 00:10:44.848925,0.0013323563624755535,55,10,501,0.012811048097819864,0.11644093881411163,21,6.022930627762914e-14,COMPLETE
35,0.4087709546718368,2024-12-06 19:08:54.327481,2024-12-06 19:17:07.536893,0 days 00:08:13.209412,2.6964357792510273e-07,106,10,499,0.007815140659873026,0.08868922780876248,21,8.534149985307632e-14,COMPLETE
23,0.4096994499904028,2024-12-06 18:26:29.638870,2024-12-06 18:41:47.486902,0 days 00:15:17.848032,0.00011203086011693229,114,7,518,0.4029037308217491,0.13084764228170476,27,9.174962340996267e-15,COMPLETE
28,0.41113022326367565,2024-12-06 18:44:20.255561,2024-12-06 18:56:22.222719,0 days 00:12:01.967158,1.4759752818071969e-08,84,10,489,0.0033228315641162538,0.17909553693361244,24,2.4204790079951984e-15,COMPLETE
27,0.41149846275093954,2024-12-06 18:41:47.490465,2024-12-06 18:55:50.962779,0 days 00:14:03.472314,1.1593509224583285e-08,86,12,489,0.004110235410656887,0.15943506946795258,24,1.039323496751742e-15,COMPLETE
33,0.41194970872714914,2024-12-06 19:03:16.797608,2024-12-06 19:14:11.519847,0 days 00:10:54.722239,1.240462101940976e-07,118,11,471,0.013715375500179358,0.38374135986767977,29,4.8841113382116175e-14,COMPLETE
