number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_od_wait,params_random_strength,state
35,0.4072762183911286,2024-12-09 18:30:35.341560,2024-12-09 18:33:47.398558,0 days 00:03:12.056998,2.451164446355291e-12,130,10,513,9.359320421844386e-05,0.1568797383350175,22,9.992048667218557e-18,COMPLETE
38,0.4076109402755201,2024-12-09 18:32:46.345044,2024-12-09 18:35:50.888995,0 days 00:03:04.543951,1.1055971690212765e-12,109,10,560,8.296446852034493e-05,0.153906959395097,22,3.8036057295802626e-17,COMPLETE
14,0.40767573261986434,2024-12-09 17:57:16.612340,2024-12-09 18:01:12.253364,0 days 00:03:55.641024,1.0352417421786014e-15,117,10,595,2.0409043819227422e-05,0.1833891479342421,20,5.362856553859768e-19,COMPLETE
34,0.4080556206084489,2024-12-09 18:28:25.904552,2024-12-09 18:32:04.780272,0 days 00:03:38.875720,3.55919888364356e-11,116,10,554,2.2423461375381553e-05,0.12255671872804247,23,1.0991094466934159e-17,COMPLETE
36,0.4082596164037749,2024-12-09 18:31:28.404767,2024-12-09 18:34:34.515627,0 days 00:03:06.110860,2.1372224086961835e-12,119,10,515,0.00010790687207513805,0.1457760224606318,22,1.2084139192654128e-17,COMPLETE
37,0.4083138844291011,2024-12-09 18:32:04.785261,2024-12-09 18:35:41.269477,0 days 00:03:36.484216,7.613787756766801e-11,110,10,515,8.945277551803256e-05,0.14818602160880562,22,2.0527928231719154e-17,COMPLETE
39,0.4092752333834767,2024-12-09 18:33:47.405538,2024-12-09 18:36:26.126416,0 days 00:02:38.720878,2.4366722503217818e-12,130,10,480,7.830718484932811e-05,0.14011839175752938,22,2.9517138898922765e-17,COMPLETE
24,0.40984149389184604,2024-12-09 18:09:39.224553,2024-12-09 18:14:33.732368,0 days 00:04:54.507815,6.150804035990787e-12,124,11,564,3.182080577818632e-05,0.07986871521575772,21,3.3031346403051188e-18,COMPLETE
0,0.4106689496045595,2024-12-09 17:21:58.543054,2024-12-09 17:25:54.395131,0 days 00:03:55.852077,7.19365685646355e-14,90,11,544,0.0005289120304558124,0.10168591127978417,22,1.408250227667049e-18,COMPLETE
1,0.4106689496045595,2024-12-09 17:21:58.557808,2024-12-09 17:25:48.693679,0 days 00:03:50.135871,3.6278571039962224e-12,120,11,568,2.8726599366445854e-05,0.15480558876658934,21,1.023199510348556e-17,COMPLETE
2,0.4106689496045595,2024-12-09 17:21:58.557808,2024-12-09 17:25:57.345704,0 days 00:03:58.787896,1.488853681607339e-14,114,15,592,6.373917030794276e-06,0.001698634648407001,29,2.441160277220715e-19,COMPLETE
3,0.4106689496045595,2024-12-09 17:21:58.573776,2024-12-09 17:25:49.211650,0 days 00:03:50.637874,8.938878780534627e-13,133,10,562,0.0001080137067882222,0.2286740440656159,24,7.195190358972918e-17,COMPLETE
25,0.41068160622624433,2024-12-09 18:11:32.896073,2024-12-09 18:16:07.391321,0 days 00:04:34.495248,4.261794039714124e-12,123,11,574,3.438994773078867e-05,0.07771079804688162,21,3.6359650992958896e-18,COMPLETE
26,0.41102002575788726,2024-12-09 18:11:51.175085,2024-12-09 18:16:25.920260,0 days 00:04:34.745175,1.1439503944119435e-11,124,11,571,3.689530831787769e-05,0.0757445232414946,21,4.1683550827372884e-18,COMPLETE
27,0.4127364324919631,2024-12-09 18:13:03.942220,2024-12-09 18:17:51.324870,0 days 00:04:47.382650,4.333968184000214e-12,125,11,574,4.424111912946558e-05,0.07159370351089338,21,4.4959658817151755e-18,COMPLETE
15,0.41393830134187154,2024-12-09 17:58:06.041009,2024-12-09 18:01:44.818374,0 days 00:03:38.777365,1.0805270053670776e-11,118,10,584,1.914469137710876e-05,0.15644931755836602,20,3.7243132855985575e-19,COMPLETE
32,0.4175962872849325,2024-12-09 18:23:05.583604,2024-12-09 18:31:24.459336,0 days 00:08:18.875732,1.0795069372568725e-13,140,13,544,0.00033985346991068983,0.28029829536447776,23,1.1572711905303936e-17,COMPLETE
33,0.4199872929492575,2024-12-09 18:25:19.431320,2024-12-09 18:32:46.335946,0 days 00:07:26.904626,6.898262426171032e-11,114,13,516,0.00011464965957970828,0.34112776222510816,23,1.3108425994102439e-17,COMPLETE
29,0.4266538369062355,2024-12-09 18:16:07.402416,2024-12-09 18:25:19.426334,0 days 00:09:12.023918,1.3226245734351521e-13,126,11,545,0.00036728621494616306,0.06656777037797977,21,2.301604204395053e-18,COMPLETE
28,0.42764631376935947,2024-12-09 18:14:33.736359,2024-12-09 18:23:05.544497,0 days 00:08:31.808138,2.2522852652440986e-13,125,11,575,4.231178834913781e-05,0.06625941886595337,21,2.785429663366767e-18,COMPLETE
11,0.42883361520361396,2024-12-09 17:51:46.755133,2024-12-09 17:57:16.607352,0 days 00:05:29.852219,6.284639309231897e-13,133,12,492,0.0007838347544961682,0.0364749821796862,27,2.0071518116326295e-19,COMPLETE
31,0.43181401046915846,2024-12-09 18:17:51.329857,2024-12-09 18:30:35.335487,0 days 00:12:44.005630,1.9348682151106802e-13,115,13,549,0.00035120617316999306,0.3372646088571118,23,1.8207360842622735e-18,COMPLETE
30,0.44104509219594606,2024-12-09 18:16:25.924249,2024-12-09 18:28:25.898568,0 days 00:11:59.974319,1.9156620005700176e-13,113,13,539,0.0003085124985447624,0.4120594912723017,23,1.737984847504276e-18,COMPLETE
