number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_od_type,params_od_wait,params_random_strength,state
86,0.4491932102491953,2024-12-05 16:01:49.339279,2024-12-05 16:08:04.638402,0 days 00:06:15.299123,0.44999874921003585,115,8,469,0.0779639925192747,0.2360288221321401,IncToDec,26,1.0463493738896407e-09,COMPLETE
87,0.4493694111291263,2024-12-05 16:01:52.756593,2024-12-05 16:07:59.958669,0 days 00:06:07.202076,0.009273284550046407,125,8,473,0.08184104537795314,0.2337476328248165,IncToDec,24,4.590410352997843e-09,COMPLETE
85,0.4496092742905482,2024-12-05 16:00:43.059179,2024-12-05 16:07:00.212031,0 days 00:06:17.152852,0.43102629326434566,55,8,461,0.07848651536466081,0.20668219649859418,IncToDec,24,1.0777246660901296e-09,COMPLETE
84,0.4496092742905482,2024-12-05 16:00:41.296392,2024-12-05 16:07:00.158900,0 days 00:06:18.862508,0.22381129260508825,52,8,469,0.03877180431794018,0.13710748045041277,IncToDec,24,1.375481048844416e-09,COMPLETE
76,0.4496323176480278,2024-12-05 15:48:57.120001,2024-12-05 15:54:49.391462,0 days 00:05:52.271461,7.503936360784958e-05,123,8,460,0.03115265028190021,0.22799189309573947,IncToDec,20,1.017937313433016e-09,COMPLETE
63,0.45143625697710055,2024-12-05 15:26:45.082128,2024-12-05 15:33:16.553333,0 days 00:06:31.471205,0.01685819769845739,128,7,500,0.016493591224554155,0.28066845438215476,IncToDec,21,1.350815768307076e-08,COMPLETE
95,0.4516345935936104,2024-12-05 16:13:55.330467,2024-12-05 16:19:37.745436,0 days 00:05:42.414969,0.06341646710908425,50,8,439,0.08045141728935705,0.18271758813865668,IncToDec,27,1.490045349465735e-09,COMPLETE
94,0.4516345935936104,2024-12-05 16:13:55.103787,2024-12-05 16:19:37.695997,0 days 00:05:42.592210,0.08100522274239308,53,8,446,0.06977451070287376,0.18469130078281812,IncToDec,25,1.4972181933825654e-09,COMPLETE
62,0.4516743908369179,2024-12-05 15:26:45.006829,2024-12-05 15:33:05.472892,0 days 00:06:20.466063,0.0003739467430199768,101,7,444,0.020172749427540295,0.04673682822984403,IncToDec,21,1.528408313003906e-08,COMPLETE
96,0.4527972061527475,2024-12-05 16:18:23.636773,2024-12-05 16:24:38.237953,0 days 00:06:14.601180,0.9135273022262589,49,8,461,0.07096447817568202,0.18573400384077385,IncToDec,25,1.008312749894251e-09,COMPLETE
97,0.45292103920238247,2024-12-05 16:18:27.194763,2024-12-05 16:24:38.194209,0 days 00:06:10.999446,0.9382744089863221,38,8,440,0.08355624744337575,0.18406082451138717,IncToDec,25,1.0044293620624256e-09,COMPLETE
79,0.4535278068752147,2024-12-05 15:50:09.215029,2024-12-05 15:55:54.722608,0 days 00:05:45.507579,0.27577590975706406,123,8,464,0.00408602282691534,0.21564668745416826,IncToDec,24,1.234190622032982e-09,COMPLETE
98,0.4537868798533021,2024-12-05 16:19:37.713465,2024-12-05 16:25:15.393672,0 days 00:05:37.680207,0.09653065431112647,62,8,439,0.02674090287336704,0.17534313029018825,IncToDec,27,1.0088643008288254e-09,COMPLETE
99,0.4537868798533021,2024-12-05 16:19:37.773017,2024-12-05 16:25:10.424321,0 days 00:05:32.651304,0.06751650799770943,58,8,439,0.03120168539783256,0.3907207948920045,IncToDec,27,1.3984931076356568e-09,COMPLETE
75,0.45421421681185026,2024-12-05 15:44:53.600375,2024-12-05 15:50:06.631054,0 days 00:05:13.030679,0.0028231698496754714,123,7,449,0.071550821000494,0.21463917230734705,IncToDec,20,8.110251907912228e-09,COMPLETE
74,0.45421421681185026,2024-12-05 15:44:53.262068,2024-12-05 15:50:09.215029,0 days 00:05:15.952961,0.21291588027271466,116,7,454,0.04526927653790863,0.2272661354061221,IncToDec,21,1.1189028657197267e-09,COMPLETE
60,0.45432195861513297,2024-12-05 15:26:14.558881,2024-12-05 15:32:02.234593,0 days 00:05:47.675712,2.0888609730953648e-05,124,7,408,0.0568447664052885,0.3383106512096985,IncToDec,17,2.3473288029660443e-09,COMPLETE
61,0.45432195861513297,2024-12-05 15:26:14.579598,2024-12-05 15:32:06.371322,0 days 00:05:51.791724,2.4518661155914337e-05,128,7,192,0.020988918527680974,0.3248936103969303,IncToDec,17,1.0886544727780021e-08,COMPLETE
82,0.4572644128086723,2024-12-05 15:55:53.292919,2024-12-05 16:01:49.330156,0 days 00:05:56.037237,0.014344755065291306,118,8,469,0.04093601791832268,0.1277956128341563,IncToDec,24,1.0983990494665026e-09,COMPLETE
